question_type,support,accuracy,macro_f1,precision,recall
What color is the anatomical landmark? If more than one separate with ;,11,0.09090909090909091,0.023809523809523808,0.012987012987012988,0.14285714285714285
Where in the image is the anatomical landmark?,304,0.4901315789473684,0.023561232156273478,0.022394272394272396,0.03230769230769231
What color is the abnormality? If more than one separate with ;,425,0.5058823529411764,0.1230303677017894,0.11438009788007854,0.1546098514232658
Where in the image is the abnormality?,439,0.6309794988610479,0.06848005928186833,0.07536059362958568,0.07228172346096874
Where in the image is the instrument?,461,0.7331887201735358,0.11155793421331713,0.11187097161361866,0.12781067952326333
What type of polyp is present?,496,0.7782258064516129,0.39220302026240517,0.39690916480390165,0.39071617000839415
What is the size of the polyp?,480,0.7875,0.2901544512546123,0.2870961985439598,0.3024919030485004
Is this finding easy to detect?,589,0.8251273344651953,0.6558125385991134,0.7474318658280922,0.6240124740124741
Are there any anatomical landmarks in the image? Check all that are present.,303,0.834983498349835,0.5185564823517126,0.5183893672974784,0.5337195484254308
Is there text?,589,0.9015280135823429,0.8319460842188116,0.8638512787448958,0.8085587227527885
How many findings are present?,511,0.9041095890410958,0.4051356420636325,0.40827160493827164,0.40319723132432533
Are there any instruments in the image? Check all that are present.,471,0.9235668789808917,0.4398609995510001,0.4328869887876099,0.47081064730792505
Is there a green/black box artefact?,589,0.9252971137521222,0.912265735023291,0.9316465897522904,0.8984014093696986
How many polyps are in the image?,469,0.9488272921108742,0.318963801142019,0.3128404303845019,0.32561434951442164
How many instrumnets are in the image?,527,0.9544592030360531,0.4734728284717892,0.47807315233785824,0.46975510204081633
Have all polyps been removed?,589,0.9643463497453311,0.638788930452634,0.640284924718887,0.6374158904523277
Are there any abnormalities in the image? Check all that are present.,462,0.9826839826839827,0.9831889250211442,0.9835294117647059,0.9828865946415615
What type of procedure is the image taken from?,587,0.9982964224872232,0.9977463728889042,0.9966442953020134,0.998861047835991
Does this image contain any finding?,375,1.0,1.0,1.0,1.0
none,10,1.0,1.0,1.0,1.0
