question_type,support,accuracy,macro_f1,precision,recall
landmark_color,54,0.5370370370370371,0.5947089947089946,0.5923280423280423,0.6468253968253967
What color is the anatomical landmark? If more than one separate with ;,11,0.5454545454545454,0.39999999999999997,0.33333333333333337,0.5714285714285714
Is this finding easy to detect?,589,0.8268251273344652,0.6184700572685554,0.8985440613026819,0.5943718443718443
What type of polyp is present?,496,0.8790322580645161,0.7885364028652551,0.749469987228608,0.8529257780863125
What color is the abnormality? If more than one separate with ;,425,0.88,0.7886581145611649,0.7950258566000316,0.8127542114677094
Where in the image is the anatomical landmark?,304,0.8914473684210527,0.7964394702959094,0.7909242967916437,0.8344060701203558
polyp_type,1959,0.8948443083205717,0.7117659546851005,0.6988199735534522,0.7313615217663194
Where in the image is the abnormality?,439,0.9179954441913439,0.7989605111331762,0.8182544687140275,0.8025317212817212
What is the size of the polyp?,480,0.9208333333333333,0.8266909206432117,0.8334041950113378,0.8272273989096183
abnormality_color,1845,0.9252032520325203,0.8998179685117839,0.9152790113650231,0.906218075833833
polyp_size,1936,0.9318181818181818,0.8894481054906798,0.8784758882073014,0.9179861529392731
landmark_location,1222,0.9378068739770867,0.8853457634944142,0.894940176798505,0.8973266815660013
abnormality_location,1898,0.9436248682824026,0.8858443316978899,0.8997135888179656,0.8937735490834267
Is there text?,589,0.9524617996604414,0.9280679716668412,0.9116054968996146,0.9476288547058396
finding_count,2115,0.9541371158392435,0.9616351135995637,0.9499554234860764,0.9752061848354941
Where in the image is the instrument?,461,0.9544468546637744,0.8082759626526368,0.8255103402681141,0.8233053221288515
How many findings are present?,511,0.958904109589041,0.9634747474747474,0.9446416126406287,0.9864695703398254
Is there a green/black box artefact?,589,0.967741935483871,0.9633448518694421,0.9652384961456497,0.9615229022576015
text_presence,2454,0.969437652811736,0.9565908651896947,0.9512724170563089,0.9622030175706646
instrument_location,1911,0.9727891156462585,0.8997979735764107,0.9070300112237365,0.90531553635213
box_artifact_presence,2319,0.9728331177231565,0.9672146046787806,0.9728748712414774,0.961997412181914
Are there any anatomical landmarks in the image? Check all that are present.,303,0.9735973597359736,0.9533333333333334,0.9357993197278911,0.9771984551396317
landmark_presence,1264,0.9802215189873418,0.9483891102432944,0.9221538461538461,0.9805295302944191
How many instrumnets are in the image?,527,0.9867172675521821,0.842738009376127,0.9912538533228188,0.8067312925170068
polyp_count,1900,0.9878947368421053,0.907082607115589,0.8967323050998038,0.9489274920226151
polyp_removal_status,2312,0.9887543252595156,0.7796509674957665,0.9914911477411478,0.7328034094700762
instrument_presence,1837,0.9891126837234622,0.9311748791375207,0.9122417041430637,0.9635015106131923
instrument_count,2208,0.9904891304347826,0.9158062402495788,0.9386997489990447,0.9153690068347454
Have all polyps been removed?,589,0.9932088285229203,0.662522071029065,0.6611540081426366,0.6638968319130263
Are there any abnormalities in the image? Check all that are present.,462,0.9935064935064936,0.7459768504100488,0.7470588235294118,0.7449404899736025
Are there any instruments in the image? Check all that are present.,471,0.9936305732484076,0.9373157669453965,0.9615968427443837,0.9269005847953217
How many polyps are in the image?,469,0.9957356076759062,0.987510561719842,0.998348001626583,0.9780629139072848
procedure_type,2303,0.9978289188015632,0.9971436898863305,0.9985448195576252,0.9957627118644068
abnormality_presence,1823,0.9983543609434997,0.9588261923530429,0.9837296528334263,0.9442348008385745
What type of procedure is the image taken from?,587,1.0,1.0,1.0,1.0
Does this image contain any finding?,375,1.0,1.0,1.0,1.0
finding_presence,237,1.0,1.0,1.0,1.0
none,10,1.0,1.0,1.0,1.0
