question_type,support,accuracy,macro_f1,precision,recall
What color is the anatomical landmark? If more than one separate with ;,11,0.09090909090909091,0.023809523809523808,0.012987012987012988,0.14285714285714285
What color is the abnormality? If more than one separate with ;,425,0.49411764705882355,0.06547737622847119,0.06289099932510785,0.07876232977647743
Where in the image is the anatomical landmark?,304,0.5361842105263158,0.026138330694011235,0.025600935163147147,0.03613291470434327
Where in the image is the abnormality?,439,0.6287015945330297,0.050756233934257954,0.06345176915352353,0.06268916073603574
Where in the image is the instrument?,461,0.735357917570499,0.09007618292508719,0.08186894339091362,0.11315624537231125
Are there any anatomical landmarks in the image? Check all that are present.,303,0.768976897689769,0.5087412587412588,0.5307246376811594,0.55941770647653
What is the size of the polyp?,480,0.7729166666666667,0.2793049606747727,0.300537257172974,0.3001451456669802
What type of polyp is present?,496,0.780241935483871,0.37876823302714374,0.3943160144140536,0.3934623064636238
Is this finding easy to detect?,589,0.8217317487266553,0.6896488127257357,0.7247142535174991,0.6666864666864667
Is there text?,589,0.830220713073005,0.7383617626154939,0.7327956989247313,0.7446416854997449
Are there any instruments in the image? Check all that are present.,471,0.8980891719745223,0.4148059824530413,0.3962031959185659,0.46987070840395373
How many findings are present?,511,0.898238747553816,0.3844881695158688,0.37996342737722044,0.39728802326865725
Is there a green/black box artefact?,589,0.9032258064516129,0.8839593392805914,0.915668202764977,0.8648962547305232
How many instrumnets are in the image?,527,0.9468690702087287,0.5238482842968445,0.5270406669139611,0.5237517006802721
How many polyps are in the image?,469,0.9488272921108742,0.31930602856729323,0.3131459170013387,0.326168047268303
Have all polyps been removed?,589,0.969439728353141,0.6434128519234902,0.6474816663764246,0.6398082349499353
Are there any abnormalities in the image? Check all that are present.,462,0.9848484848484849,0.985334055793639,0.9852400462233427,0.9854409755072008
What type of procedure is the image taken from?,587,0.9982964224872232,0.9977463728889042,0.9966442953020134,0.998861047835991
Does this image contain any finding?,375,1.0,1.0,1.0,1.0
none,10,1.0,1.0,1.0,1.0
