analysis_type,experiment,dataset,qa_id,img_id,image_ref,question,gold_answer,pred_answer,pred_answer_no_caption,correct,confidence,question_type,caption_text,selection_note
correct_predictions,kvasir_caption,Kvasir-VQA,58847,clb0lbx1ndqps086u6is88lmw,two_dataset_final_artifacts/qualitative_images/clb0lbx1ndqps086u6is88lmw.jpg,none,,,,True,1.0,none,"A view of pink, folded mucosal tissue with a distinct white patch located on a raised structure in the upper left. A dark, shadowed region is visible in the background to the right, and a date stamp is present in the upper right corner.",unique examples
correct_predictions,kvasir_caption,Kvasir-VQA,48206,clbnxton8ar750755f4v916om,two_dataset_final_artifacts/qualitative_images/clbnxton8ar750755f4v916om.jpg,Does this image contain any finding?,no,no,,True,1.0,Does this image contain any finding?,"A view of a tubular structure with pinkish mucosal walls and a dark central opening. Yellowish, oval-shaped objects are adhered to the upper surface, and a teal overlay with text and graphics is visible in the lower-left corner.",unique examples
correct_predictions,kvasir_caption,Kvasir-VQA,48125,clbnxtogibnoq074c8yf01n5s,two_dataset_final_artifacts/qualitative_images/clbnxtogibnoq074c8yf01n5s.jpg,Does this image contain any finding?,no,no,,True,1.0,Does this image contain any finding?,"The image displays a circular endoscopic view of a yellowish-brown surface covered with numerous reflective bubbles and fluid. Text overlays are visible in the upper left and upper right corners, while the text ""The Shadows"" appears in the lower left corner.",unique examples
correct_predictions,kvasir_caption,Kvasir-VQA,48131,clbnxton2aqyt075521wj941r,two_dataset_final_artifacts/qualitative_images/clbnxton2aqyt075521wj941r.jpg,Does this image contain any finding?,no,no,,True,1.0,Does this image contain any finding?,"The image shows a tubular lumen with pinkish mucosal walls and a dark central opening. A large green rectangular overlay covers the bottom left corner, and white text is visible in the top left.",unique examples
correct_predictions,kvasir_caption,Kvasir-VQA,48132,clbnxton2aqyx07550xzkfs40,two_dataset_final_artifacts/qualitative_images/clbnxton2aqyx07550xzkfs40.jpg,Does this image contain any finding?,no,no,,True,1.0,Does this image contain any finding?,"A tubular structure with smooth pink mucosal folds converges toward a dark central opening. A green rectangular overlay with a black line is visible in the lower-left corner, and white text appears in the upper-left area.",unique examples
incorrect_predictions,kvasir_caption,Kvasir-VQA,51295,clb0lbwyndocg086uas3yfl2g,two_dataset_final_artifacts/qualitative_images/clb0lbwyndocg086uas3yfl2g.jpg,Have all polyps been removed?,no,not relevant,,False,0.9997923970222472,Have all polyps been removed?,"An endoscopic view showing pinkish-red mucosal tissue with a folded, textured surface and bright fluid reflections. A large dark object or shadowed region is visible across the upper part of the frame, and white text overlays appear in the upper left corner.",unique examples
incorrect_predictions,kvasir_caption,Kvasir-VQA,30433,clb0kvxun8zko074y606k6otj,two_dataset_final_artifacts/qualitative_images/clb0kvxun8zko074y606k6otj.jpg,Where in the image is the abnormality?,lower-center;lower-right,center;center-left;center-right;lower-center;lower-left;lower-right;upper-center;upper-left;upper-right,,False,0.999415159225464,Where in the image is the abnormality?,"A view of pale pink mucosal tissue with a smooth, wet surface and visible folds. Small bubbles and frothy fluid are scattered across the central and right regions.",unique examples
incorrect_predictions,kvasir_caption,Kvasir-VQA,49667,clb0lbwy7dnr0086u9mek37t7,two_dataset_final_artifacts/qualitative_images/clb0lbwy7dnr0086u9mek37t7.jpg,Are there any instruments in the image? Check all that are present.,biopsy forceps,tube,,False,0.9978377223014832,Are there any instruments in the image? Check all that are present.,"An endoscopic view shows pink, folded mucosal tissue with bright fluid reflections across the surface. A large dark instrument-like object with white markings is visible in the upper left, and a green rectangular overlay with text covers the lower-left corner.",unique examples
incorrect_predictions,kvasir_caption,Kvasir-VQA,51552,clb0lbwyrdofw086u8ij845kq,two_dataset_final_artifacts/qualitative_images/clb0lbwyrdofw086u8ij845kq.jpg,Have all polyps been removed?,no,not relevant,,False,0.997170865535736,Have all polyps been removed?,"An endoscopic view displays pinkish-red mucosal tissue with a smooth, wet surface texture and visible vascular patterns. A dark instrument-like object is present in the upper left corner, and white text overlays are visible on the left side of the frame.",unique examples
incorrect_predictions,kvasir_caption,Kvasir-VQA,27785,cl8k2u1ro1ggn0832hm9y8scs,two_dataset_final_artifacts/qualitative_images/cl8k2u1ro1ggn0832hm9y8scs.jpg,How many instrumnets are in the image?,1,0,,False,0.9967911839485168,How many instrumnets are in the image?,"An endoscopic view showing pinkish-orange mucosal tissue with a textured surface and bright fluid reflections. A dark instrument-like object is visible in the upper right, and white text overlays appear in the upper left corner.",unique examples
