question_type,support,accuracy,macro_f1,precision,recall
How many instrumnets are in the image?,527,0.0,0.0,0.0,0.0
How many polyps are in the image?,469,0.0,0.0,0.0,0.0
Are there any abnormalities in the image? Check all that are present.,462,0.0,0.0,0.0,0.0
What type of procedure is the image taken from?,587,0.0017035775127768314,0.00011961722488038277,0.02631578947368421,5.994485073732166e-05
How many findings are present?,511,0.0019569471624266144,0.00016952025767079165,0.029411764705882353,8.500510030601835e-05
Have all polyps been removed?,589,0.03225806451612903,0.006065106542010331,0.05016446794097312,0.019451098724965775
What color is the abnormality? If more than one separate with ;,425,0.04941176470588235,0.04140578133938596,0.12969864274212098,0.03540871220480422
Where in the image is the abnormality?,439,0.05011389521640091,0.1382581453634085,0.21666666666666667,0.12269209769209768
What color is the anatomical landmark? If more than one separate with ;,11,0.09090909090909091,0.1111111111111111,0.1111111111111111,0.1111111111111111
Is there a green/black box artefact?,589,0.26825127334465193,0.020038951310861426,0.03955524861878453,0.01714765757536213
Is there text?,589,0.3531409168081494,0.017589275201426387,0.03354837436868687,0.012007985832665062
Are there any anatomical landmarks in the image? Check all that are present.,303,0.5115511551155115,0.10123089258905418,0.19064748201438847,0.12813931346816942
Where in the image is the anatomical landmark?,304,0.5394736842105263,0.08205086001152169,0.09844519704433498,0.07440318302387268
Is this finding easy to detect?,589,0.6179966044142614,0.254634487583071,0.20599886813808713,0.3333333333333333
What is the size of the polyp?,480,0.6208333333333333,0.031634819532908705,0.030192502532928062,0.03322185061315496
Where in the image is the instrument?,461,0.6247288503253796,0.13313268652251703,0.1857570653191091,0.11943768257059396
What type of polyp is present?,496,0.6391129032258065,0.0903177999139727,0.1378342822636301,0.07863864018781372
Are there any instruments in the image? Check all that are present.,471,0.772823779193206,0.09546841411829969,0.1728402032749859,0.07667058162958539
Does this image contain any finding?,375,0.9946666666666667,0.3324420677361854,0.3333333333333333,0.33155555555555555
